GCF_001745895.1	GCA_036637035.1	Morganella sp. (in: enterobacteria)
GCF_001744575.1	GCA_036637035.1	Morganella sp. (in: enterobacteria)
GCF_004800895.1	GCA_032513385.1	Raoultella sp.
GCF_000846305.1	GCA_000959285.1	Burkholderia pseudomallei
GCF_000846305.1	GCA_000959125.1	Burkholderia pseudomallei
GCF_000846305.1	GCA_000756125.1	Burkholderia pseudomallei
GCF_000846305.1	GCA_000959205.1	Burkholderia pseudomallei
GCF_000846305.1	GCA_000193455.1	Burkholderia pseudomallei
GCF_000846305.1	GCA_000756185.1	Burkholderia pseudomallei
GCF_000861045.1	GCA_000959285.1	Burkholderia pseudomallei
GCF_000861045.1	GCA_000959125.1	Burkholderia pseudomallei
GCF_000861045.1	GCA_000756125.1	Burkholderia pseudomallei
GCF_000861045.1	GCA_000959205.1	Burkholderia pseudomallei
GCF_000861045.1	GCA_000193455.1	Burkholderia pseudomallei
GCF_000861045.1	GCA_000756185.1	Burkholderia pseudomallei
GCF_000871505.1	GCA_000959285.1	Burkholderia pseudomallei
GCF_000871505.1	GCA_000959125.1	Burkholderia pseudomallei
GCF_000871505.1	GCA_000756125.1	Burkholderia pseudomallei
GCF_000871505.1	GCA_000959205.1	Burkholderia pseudomallei
GCF_000871505.1	GCA_000193455.1	Burkholderia pseudomallei
GCF_000871505.1	GCA_000756185.1	Burkholderia pseudomallei
GCF_000908615.1	GCA_000959285.1	Burkholderia pseudomallei
GCF_000908615.1	GCA_000959125.1	Burkholderia pseudomallei
GCF_000908615.1	GCA_000756125.1	Burkholderia pseudomallei
GCF_000908615.1	GCA_000959205.1	Burkholderia pseudomallei
GCF_000908615.1	GCA_000193455.1	Burkholderia pseudomallei
GCF_000908615.1	GCA_000756185.1	Burkholderia pseudomallei
GCF_000893155.1	GCA_000959285.1	Burkholderia pseudomallei
GCF_000893155.1	GCA_000959125.1	Burkholderia pseudomallei
GCF_000893155.1	GCA_000756125.1	Burkholderia pseudomallei
